,imdbID,title,year,n_votes,imdb_rating,budget,box_office,cast,genre,running_time,inflation_factor,budget_adjusted
0,tt0097626,johnny handsome,1989,8324,6.2,20.0,7.24,7,3,96,0.8064516129032259,16.129032258064516
1,tt0092997,extreme prejudice,1987,5649,6.7,22.0,1130784.49,3,3,104,0.8802816901408451,19.366197183098592
3,tt0120903,x-men,2000,545484,7.4,75.0,296.3,10,4,104,0.5807200929152149,43.55400696864112
5,tt0077975,national lampoon's animal house,1978,106817,7.5,3.0,141.6,6,1,109,1.5337423312883436,4.601226993865031
6,tt0091757,pirates,1986,7361,6.1,1274.0,4560.0,6,3,726,0.9124087591240877,1162.4087591240877
7,tt1229238,mission: impossible,1996,435418,7.4,828.0,3570.0,1,4,769,0.6373486297004461,527.7246653919694
8,tt1649419,the impossible,2012,182949,7.6,45.0,198.1,3,3,113,0.4355514516929884,19.59981532618448
10,tt1099212,twilight,1998,401686,5.2,385.0,3346.0,18,3,607,0.6134969325153374,236.19631901840492
11,tt0077869,the lord of the rings,1978,28044,6.2,281.0,2919.0,15,3,558,1.5337423312883436,430.9815950920245
12,tt0120338,titanic,1997,983627,7.8,200.0,2187.0,10,4,195,0.6230529595015576,124.61059190031152
13,tt2488496,star wars: episode vii - the force awakens,2015,802470,7.9,306.0,2068.0,13,4,135,0.42191066463587,129.10466337857622
14,tt7768640,star wars: the force awakens,2015,8,6.0,306.0,2068.0,13,2,135,0.42191066463587,129.10466337857622
15,tt4154756,avengers: infinity war,2018,725561,8.5,400.0,2048.0,19,5,149,0.3982366082984544,159.29464331938178
16,tt0119654,men in black,1997,488855,7.3,90.0,589.4,5,4,98,0.6230529595015576,56.074766355140184
17,tt0369610,jurassic world,2015,551466,7.0,150.0,1672.0,8,3,124,0.42191066463587,63.2865996953805
18,tt0848228,the avengers,1998,1208826,8.0,60.0,48.6,4,4,89,0.6134969325153374,36.809815950920246
20,tt2820852,furious 7,2015,342382,7.2,190.0,1516.0,10,3,137,0.42191066463587,80.1630262808153
21,tt2395427,avengers: age of ultron,2015,688839,7.3,495.2,1403.0,17,4,141,0.42191066463587,208.93016112768282
22,tt1825683,black panther,2018,551088,7.3,200.0,1347.0,11,4,134,0.3982366082984544,79.64732165969089
23,tt2527336,star wars: episode viii - the last jedi,2017,487996,7.1,317.0,1333.0,15,4,152,0.40796344647519583,129.32441253263707
24,tt3486354,star wars: the last jedi,2008,87,8.3,317.0,1333.0,14,3,152,0.4644617120987632,147.23436273530794
25,tt4881806,jurassic world: fallen kingdom,2018,234437,6.2,187.0,1309.0,7,3,128,0.3982366082984544,74.47024575181098
28,tt2294629,frozen,2013,535203,7.5,150.0,1276.0,5,5,102,0.42926376970857283,64.38956545628592
29,tt0101414,beauty and the beast,1962,398274,8.0,255.0,1264.0,11,3,129,3.3112582781456954,844.3708609271523
32,tt3606756,incredibles 2,2018,220721,7.7,200.0,1243.0,5,4,118,0.3982366082984544,79.64732165969089
33,tt4630562,the fate of the furious,2017,188876,6.7,250.0,1236.0,11,3,136,0.40796344647519583,101.99086161879896
38,tt1300854,iron man 3,2013,713364,7.2,200.0,1215.0,9,4,131,0.42926376970857283,85.85275394171457
39,tt2293640,minions,2015,199532,6.4,74.0,1159.0,6,3,91,0.42191066463587,31.22138918305438
40,tt3498820,captain america: civil war,2016,610916,7.8,250.0,1153.0,16,5,147,0.4166545142433346,104.16362856083366
41,tt1477834,aquaman,2018,313995,7.0,200.0,1148.0,7,4,143,0.3982366082984544,79.64732165969089
43,tt1399103,transformers: dark of the moon,2011,371748,6.2,195.0,1124.0,10,3,154,0.44456497094767916,86.69016933479743
44,tt0167260,the lord of the rings: the return of the king,2003,1533400,8.9,94.0,1120.0,19,4,200,0.5434782608695652,51.086956521739125
45,tt1074638,skyfall,2012,601979,7.7,200.0,1109.0,8,4,143,0.4355514516929884,87.11029033859768
46,tt2109248,transformers: age of extinction,2014,287629,5.6,210.0,1104.0,2,3,165,0.422411462557448,88.70640713706408
47,tt1345836,the dark knight rises,2012,1424604,8.4,300.0,1084.0,8,4,165,0.4355514516929884,130.66543550789652
48,tt0435761,toy story 3,2010,707238,8.3,200.0,1067.0,13,3,103,0.4585977913930367,91.71955827860734
49,tt0383574,pirates of the caribbean: dead man's chest,2006,624533,7.3,225.0,1066.0,8,3,151,0.49603174603174605,111.60714285714286
50,tt3748528,rogue one: a star wars story,2016,497915,7.8,265.0,1056.0,8,4,133,0.4166545142433346,110.41344627448368
51,tt0103639,aladdin,1992,339486,8.0,183.0,1051.0,7,4,128,0.7127583749109052,130.43478260869566
52,tt1298650,pirates of the caribbean: on stranger tides,2011,457040,6.6,410.6,1046.0,5,3,137,0.44456497094767916,182.53837707111708
53,tt3469046,despicable me 3,2017,99642,6.3,80.0,1035.0,8,3,90,0.40796344647519583,32.637075718015666
54,tt2277860,finding dory,2016,221139,7.3,200.0,1029.0,8,3,97,0.4166545142433346,83.33090284866692
56,tt0120915,star wars: episode i - the phantom menace,1999,671698,6.5,115.0,1027.0,9,4,133,0.6002400960384154,69.02761104441778
58,tt0099012,alice,1990,12601,6.6,12.0,7.33,8,3,106,0.7651109410864576,9.181331293037491
59,tt0335563,wonderland,2003,20577,6.6,150.0,1025.0,10,5,108,0.5434782608695652,81.52173913043478
61,tt1014759,alice in wonderland,2010,364904,6.4,150.0,1025.0,10,2,108,0.4585977913930367,68.7896687089555
62,tt2948356,zootopia,2016,398097,8.0,150.0,1024.0,12,3,108,0.4166545142433346,62.49817713650019
63,tt0903624,the hobbit: an unexpected journey,2012,729705,7.8,315.0,1021.0,11,3,169,0.4355514516929884,137.19870728329136
64,tt0468569,the dark knight,2008,2141768,9.0,185.0,1005.0,7,4,152,0.4644617120987632,85.9254167382712
65,tt0252866,american pie 2,2001,229287,6.4,30.0,287.6,11,1,100,0.564652738565782,16.93958215697346
66,tt0241527,harry potter and the sorcerer's stone,2001,586903,7.6,125.0,975.1,12,2,152,0.564652738565782,70.58159232072275
67,tt1690953,despicable me 2,2013,352039,7.3,76.0,970.8,6,3,98,0.42926376970857283,32.62404649785154
69,tt0110357,the lion king,1994,875159,8.5,45.0,968.5,14,4,88,0.6747638326585695,30.36437246963563
70,tt3040964,the jungle book,1967,246564,7.4,177.0,966.6,8,3,106,2.9940119760479047,529.9401197604791
73,tt0449088,pirates of the caribbean: at world's end,2007,565803,7.1,300.0,963.4,11,4,168,0.482392667631452,144.7178002894356
74,tt2283362,jumanji: welcome to the jungle,2017,262272,6.9,150.0,962.1,6,4,119,0.40796344647519583,61.19451697127938
75,tt0926084,harry potter and the deathly hallows  part 1,2010,437405,7.7,250.0,960.4,17,2,146,0.4585977913930367,114.64944784825917
77,tt1201607,harry potter and the deathly hallows: part 2,2011,711059,8.1,250.0,960.4,17,3,146,0.44456497094767916,111.14124273691979
79,tt1170358,the hobbit: the desolation of smaug,2013,575054,7.8,260.0,958.0,11,3,161,0.42926376970857283,111.60858012422894
80,tt2310332,the hobbit: the battle of the five armies,2014,448272,7.4,300.0,956.0,14,3,144,0.422411462557448,126.7234387672344
82,tt0417741,harry potter and the half-blood prince,2009,432408,7.6,250.0,934.5,13,3,153,0.4661200632058805,116.53001580147013
83,tt0167261,the lord of the rings: the two towers,2002,1391883,8.7,94.0,926.0,18,4,179,0.555864369093941,52.25125069483045
84,tt0298148,shrek 2,2004,392363,7.2,150.0,919.8,8,3,92,0.5293806246691372,79.40709370037057
85,tt1727824,bohemian rhapsody,2018,392840,8.0,55.0,903.7,9,2,134,0.3982366082984544,21.903013456414993
86,tt0330373,harry potter and the goblet of fire,2005,503483,7.7,150.0,897.1,13,2,157,0.5120327700972862,76.80491551459293
87,tt0306047,scary movie 3,2003,130934,5.5,48.0,220.7,13,3,84,0.5434782608695652,26.08695652173913
89,tt2379713,spectre,2015,360260,6.8,300.0,880.7,9,4,148,0.42191066463587,126.573199390761
90,tt2250912,spider-man: homecoming,2017,462368,7.4,175.0,880.2,8,4,133,0.40796344647519583,71.39360313315927
91,tt0295297,harry potter and the chamber of secrets,2002,507699,7.4,100.0,879.2,14,2,161,0.555864369093941,55.5864369093941
92,tt1667889,ice age: continental drift,2012,180327,6.6,95.0,877.2,7,3,88,0.4355514516929884,41.3773879108339
93,tt2975590,batman v superman: dawn of justice,2016,591299,6.5,300.0,873.6,9,4,151,0.4166545142433346,124.99635427300038
