,imdbID,title,year,n_votes,imdb_rating,budget,box_office,cast,genre,running_time,inflation_factor,budget_adjusted,budget_per_actor,budget_per_time,runtime_per_actor,percent_revenue,total_ratings,book,sup,hor,com,spy,his,war,psy,rom,mon,fan,mus,pol,bio,sci,act,dra,dis,adv,mys,thr,dys,cri,epi,oth,ani,based_on_book,other,prescore,postscore,precount_wins,precount_noms,win,nom,none
0,tt0097626,johnny handsome,1989,8324,6.2,20.0,7.24,7,3,96,0.8064516129032259,16.129032258064516,2.304147465437788,0.16801075268817203,13.714285714285714,-63.8,51.6088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,1.0,0,0,0,1.0,0,0.4,0.0,0,2,0,0,0
1,tt0120903,x-men,2000,545484,7.4,75.0,296.3,10,4,104,0.5807200929152149,43.55400696864112,4.355400696864112,0.4187885285446261,10.4,295.06666666666666,4036.5816,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0,5.4,0.0,1,2,0,0,0
2,tt0077975,national lampoon's animal house,1978,106817,7.5,3.0,141.6,6,1,109,1.5337423312883436,4.601226993865031,0.7668711656441718,0.042213091686835146,18.166666666666668,4620.0,801.1275,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0
3,tt1649419,the impossible,2012,182949,7.6,45.0,198.1,3,3,113,0.4355514516929884,19.59981532618448,6.533271775394827,0.17344969315207504,37.666666666666664,340.22222222222223,1390.4124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,1.0,0,0,0,0,0,0.0,0,0.2,0.2,0,1,0,1,6
4,tt1099212,twilight,1998,401686,5.2,385.0,3346.0,18,3,607,0.6134969325153374,236.1963190184049,13.122017723244717,0.38912078915717446,33.72222222222222,769.0909090909091,2088.7672000000002,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,0,0,0,0,0
5,tt0077869,the lord of the rings,1978,28044,6.2,281.0,2919.0,15,3,558,1.5337423312883436,430.9815950920245,28.732106339468302,0.772368449985707,37.2,938.7900355871886,173.8728,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0,0,0.0,0.0,0,0,0,0,0
6,tt0120338,titanic,1997,983627,7.8,200.0,2187.0,10,4,195,0.6230529595015576,124.6105919003115,12.46105919003115,0.6390286764118539,19.5,993.5,7672.290599999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0.0,0,5.4,10.399999999999999,1,2,2,4,3
7,tt2488496,star wars: episode vii - the force awakens,2015,802470,7.9,306.0,2068.0,13,4,135,0.42191066463587,129.10466337857622,9.931127952198171,0.9563308398413053,10.384615384615385,575.8169934640523,6339.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1.0,0,11.7,0.0,2,10,0,0,0
8,tt4154756,avengers: infinity war,2018,725561,8.5,400.0,2048.0,19,5,149,0.3982366082984544,159.29464331938178,8.383928595756936,1.0690915659018911,7.842105263157895,412.0,6167.2685,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0,1.5999999999999999,0.0,0,8,0,0,7
9,tt0119654,men in black,1997,488855,7.3,90.0,589.4,5,4,98,0.6230529595015576,56.07476635514018,11.214953271028035,0.5721914934197977,19.6,554.8888888888889,3568.6415,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0,5.4,0.0,1,2,0,0,7
