,imdbID,title,year,win,nom,none
0,tt0097626,johnny handsome,1989,0,0,0
1,tt0120903,x-men,2000,0,0,0
2,tt0077975,national lampoon's animal house,1978,0,0,0
3,tt1649419,the impossible,2012,0,1,6
4,tt1099212,twilight,1998,0,0,0
5,tt0077869,the lord of the rings,1978,0,0,0
6,tt0120338,titanic,1997,2,4,3
7,tt2488496,star wars: episode vii - the force awakens,2015,0,0,0
8,tt4154756,avengers: infinity war,2018,0,0,7
9,tt0119654,men in black,1997,0,0,7
10,tt0369610,jurassic world,2015,0,0,0
11,tt0848228,the avengers,1998,0,0,0
12,tt2820852,furious 7,2015,0,0,0
13,tt2395427,avengers: age of ultron,2015,0,0,0
14,tt1825683,black panther,2018,0,1,6
15,tt2527336,star wars: episode viii - the last jedi,2017,0,0,0
16,tt4881806,jurassic world: fallen kingdom,2018,0,0,0
17,tt2294629,frozen,2013,0,0,7
18,tt0101414,beauty and the beast,1962,0,0,0
19,tt3606756,incredibles 2,2018,0,0,0
20,tt4630562,the fate of the furious,2017,0,0,0
21,tt1300854,iron man 3,2013,0,0,7
22,tt2293640,minions,2015,0,0,0
23,tt3498820,captain america: civil war,2016,0,0,0
24,tt1477834,aquaman,2018,0,0,0
25,tt1399103,transformers: dark of the moon,2011,0,0,7
26,tt0167260,the lord of the rings: the return of the king,2003,3,3,4
27,tt1074638,skyfall,2012,0,0,7
28,tt2109248,transformers: age of extinction,2014,0,0,0
29,tt1345836,the dark knight rises,2012,0,0,0
30,tt0435761,toy story 3,2010,0,2,5
31,tt0383574,pirates of the caribbean: dead man's chest,2006,0,0,7
32,tt3748528,rogue one: a star wars story,2016,0,0,7
33,tt0103639,aladdin,1992,0,0,7
34,tt1298650,pirates of the caribbean: on stranger tides,2011,0,0,0
35,tt3469046,despicable me 3,2017,0,0,0
36,tt2277860,finding dory,2016,0,0,0
37,tt0120915,star wars: episode i - the phantom menace,1999,0,0,0
38,tt0099012,alice,1990,0,1,6
39,tt0335563,wonderland,2003,0,0,0
40,tt1014759,alice in wonderland,2010,0,0,7
41,tt2948356,zootopia,2016,0,0,0
42,tt0903624,the hobbit: an unexpected journey,2012,0,0,7
43,tt0468569,the dark knight,2008,1,1,6
44,tt0252866,american pie 2,2001,0,0,0
45,tt0241527,harry potter and the sorcerer's stone,2001,0,0,7
46,tt1690953,despicable me 2,2013,0,0,7
47,tt0110357,the lion king,1994,0,0,7
48,tt3040964,the jungle book,1967,0,0,7
49,tt0449088,pirates of the caribbean: at world's end,2007,0,0,7
50,tt2283362,jumanji: welcome to the jungle,2017,0,0,0
51,tt0926084,harry potter and the deathly hallows  part 1,2010,0,0,7
52,tt1201607,harry potter and the deathly hallows: part 2,2011,0,0,0
53,tt1170358,the hobbit: the desolation of smaug,2013,0,0,7
54,tt2310332,the hobbit: the battle of the five armies,2014,0,0,7
55,tt0417741,harry potter and the half-blood prince,2009,0,0,7
56,tt0167261,the lord of the rings: the two towers,2002,0,1,6
57,tt0298148,shrek 2,2004,0,0,7
58,tt1727824,bohemian rhapsody,2018,1,2,5
59,tt0330373,harry potter and the goblet of fire,2005,0,0,7
60,tt0306047,scary movie 3,2003,0,0,0
61,tt2379713,spectre,2015,0,0,7
62,tt2250912,spider-man: homecoming,2017,0,0,0
63,tt0295297,harry potter and the chamber of secrets,2002,0,0,0
64,tt1667889,ice age: continental drift,2012,0,0,0
65,tt2975590,batman v superman: dawn of justice,2016,0,0,0
66,tt0120737,the lord of the rings: the fellowship of the ring,2001,0,4,3
67,tt0266543,finding nemo,2003,0,1,6
68,tt1951264,the hunger games: catching fire,2013,0,0,0
69,tt3896198,guardians of the galaxy vol. 2,2017,0,0,7
70,tt2096673,inside out,2015,0,1,6
71,tt1270797,venom,1981,0,0,0
72,tt3501632,thor: ragnarok,2017,0,0,0
73,tt0121766,star wars: episode iii - revenge of the sith,2005,0,0,0
74,tt1055369,transformers: revenge of the fallen,2009,0,0,7
75,tt1324999,the twilight saga: breaking dawn - part 1,2011,0,0,0
76,tt0234215,the matrix reloaded,2003,0,0,0
77,tt1375666,inception,2010,0,2,5
78,tt0451279,wonder woman,2017,0,0,0
79,tt0116629,independence day,1983,0,0,0
80,tt3183660,fantastic beasts and where to find them,2016,0,0,7
81,tt0413267,shrek the third,2007,0,0,0
82,tt0304141,harry potter and the prisoner of azkaban,2004,0,0,7
83,tt1790809,pirates of the caribbean: dead men tell no tales,2017,0,0,0
84,tt0083866,e.t. the extra-terrestrial,1982,0,3,4
85,tt4912910,mission: impossible - fallout,2018,0,0,0
86,tt1905041,furious 6,2013,0,0,0
87,tt0367882,indiana jones and the kingdom of the crystal skull,2008,0,0,0
88,tt5463162,deadpool 2,2018,0,0,0
89,tt1431045,deadpool,2016,0,0,0
90,tt0076759,star wars,1977,0,3,4
91,tt2015381,guardians of the galaxy,2014,0,0,7
92,tt0499549,avatar,2009,0,2,5
93,tt1587310,maleficent,2014,0,0,7
94,tt0948470,the amazing spider-man,2012,0,0,0
95,tt0382625,the da vinci code,2006,0,0,0
96,tt1951265,the hunger games: mockingjay - part 1,2014,0,0,0
97,tt0892791,shrek forever after,2010,0,0,0
98,tt1877832,x-men: days of future past,2014,0,0,7
99,tt1277953,madagascar 3: europe's most wanted,2012,0,0,0
100,tt0363771,"the chronicles of narnia: the lion, the witch and the wardrobe",2005,0,0,7
101,tt1453405,monsters university,2013,0,0,0
102,tt0086960,beverly hills cop,1984,0,1,6
103,tt1454468,gravity,2013,1,3,4
104,tt1843866,captain america: the winter soldier,2014,0,0,7
105,tt2103281,dawn of the planet of the apes,2014,0,0,7
106,tt0418279,transformers,2007,0,0,7
107,tt1259571,the twilight saga: new moon,2009,0,0,0
108,tt0316654,spider-man 2,2004,0,0,7
109,tt1872181,the amazing spider-man 2,2014,0,0,0
