,title,year,imdbID,book,sup,hor,com,spy,his,war,psy,rom,mon,fan,mus,pol,bio,sci,act,dra,dis,adv,mys,thr,dys,cri,epi,oth,ani,based_on_book,other
0,johnny handsome,1989.0,tt0097626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,1.0,0,0,0,1.0,0
1,x-men,2000.0,tt0120903,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
2,national lampoon's animal house,1978.0,tt0077975,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
3,the impossible,2012.0,tt1649419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,1.0,0,0,0,0,0,0.0,0
4,twilight,1998.0,tt1099212,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0
5,the lord of the rings,1978.0,tt0077869,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0,0
6,titanic,1997.0,tt0120338,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0.0,0
7,star wars: episode vii - the force awakens,2015.0,tt2488496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1.0,0
8,avengers: infinity war,2018.0,tt4154756,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
9,men in black,1997.0,tt0119654,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
10,jurassic world,2015.0,tt0369610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
11,the avengers,1998.0,tt0848228,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
12,furious 7,2015.0,tt2820852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0,0,0,0,0,1.0,0
13,avengers: age of ultron,2015.0,tt2395427,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
14,black panther,2018.0,tt1825683,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
15,star wars: episode viii - the last jedi,2017.0,tt2527336,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1.0,0
16,jurassic world: fallen kingdom,2018.0,tt4881806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
17,frozen,2013.0,tt2294629,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0
18,beauty and the beast,1962.0,tt0101414,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
19,incredibles 2,2018.0,tt3606756,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.0,0
20,the fate of the furious,2017.0,tt4630562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0,0,0,0,0,1.0,0
21,iron man 3,2013.0,tt1300854,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
22,minions,2015.0,tt2293640,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0,0
23,captain america: civil war,2016.0,tt3498820,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
24,aquaman,2018.0,tt1477834,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0
25,transformers: dark of the moon,2011.0,tt1399103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
26,the lord of the rings: the return of the king,2003.0,tt0167260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,1,0,0,0,0,1,0,0,1.0,0
27,skyfall,2012.0,tt1074638,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0,0,0,0,0,1.0,0
28,transformers: age of extinction,2014.0,tt2109248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
29,the dark knight rises,2012.0,tt1345836,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,1.0,0
30,toy story 3,2010.0,tt0435761,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0
31,pirates of the caribbean: dead man's chest,2006.0,tt0383574,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0
32,rogue one: a star wars story,2016.0,tt3748528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1.0,0
33,aladdin,1992.0,tt0103639,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0
34,pirates of the caribbean: on stranger tides,2011.0,tt1298650,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0
35,despicable me 3,2017.0,tt3469046,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0
36,finding dory,2016.0,tt2277860,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0
37,star wars: episode i - the phantom menace,1999.0,tt0120915,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.0,0
38,alice,1990.0,tt0099012,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
39,wonderland,2003.0,tt0335563,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,1,1,0,0,1.0,0,0,0,1.0,0
40,alice in wonderland,2010.0,tt1014759,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0
41,zootopia,2016.0,tt2948356,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0
42,the hobbit: an unexpected journey,2012.0,tt0903624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0,0
43,the dark knight,2008.0,tt0468569,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,1.0,0,0,0,1.0,0
44,american pie 2,2001.0,tt0252866,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
45,harry potter and the sorcerer's stone,2001.0,tt0241527,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0
